,E101_1,E101_2,E101_3,E103_1,E103_2,E103_3,E105_1,E105_2,E105_3,E107_1,E107_2,E107_3,E201_1,E201_2,E201_3,E203_1,E203_2,E203_3,E205_1,E205_2,E205_3,E207_1,E207_2,E207_3,E209_1,E209_2,E209_3,E303_1,E303_2,E303_3,E305_1,E305_2,E305_3,E307_1,E307_2,E307_3,E309_1,E309_2,E309_3,E401_1,E401_2,E401_3,E403_1,E403_2,E403_3,E405_1,E405_2,E405_3,E407_1,E407_2,E407_3,E501_1,E501_2,E501_3,E503_1,E503_2,E503_3,E505_1,E505_2,E505_3,E507_1,E507_2,E507_3,E509_1,E509_2,E509_3,E603_1,E603_2,E603_3,E605_1,E605_2,E605_3,E607_1,E607_2,E607_3,E609_1,E609_2,E609_3
ASV46,0,236,223,15,0,207,0,49,135,0,0,113,0,131,264,0,0,245,97,193,119,112,45,57,137,73,56,23,54,139,0,181,90,44,64,67,63,74,53,77,255,189,0,80,124,24,0,125,77,134,100,230,255,239,0,190,107,34,55,168,83,78,89,365,58,0,221,169,225,28,169,102,0,23,108,234,133,93
ASV47,40,165,147,0,123,57,161,47,76,159,22,38,46,125,123,186,122,121,168,134,43,150,102,18,136,24,7,34,219,66,27,67,25,20,159,9,198,12,3,385,213,98,4,185,83,9,57,44,52,161,89,344,355,222,22,218,60,12,198,154,75,214,73,300,59,10,237,219,289,29,199,85,8,16,198,214,109,79
ASV48,19,117,111,0,130,200,22,347,259,8,194,188,49,115,107,0,167,248,13,183,142,9,282,156,0,86,98,16,65,151,0,146,90,0,311,81,19,124,88,50,148,91,0,177,116,0,11,127,0,331,128,36,108,71,29,139,148,0,111,171,9,45,235,15,214,52,31,252,201,0,122,220,0,0,253,40,301,161
ASV49,28,120,99,0,129,96,135,69,80,113,21,91,0,52,105,122,64,118,269,115,120,192,106,92,255,139,68,25,75,110,40,147,95,77,86,69,264,105,62,0,77,86,0,53,103,0,0,137,71,155,160,40,79,97,18,162,151,124,126,207,133,169,122,274,188,33,63,141,128,0,121,111,56,43,218,131,216,175
ASV52,126,32,23,5,191,8,156,26,8,294,18,0,67,30,8,394,65,16,79,23,0,281,12,0,243,0,0,47,13,6,35,5,0,29,24,0,27,0,0,159,27,9,65,32,2,16,130,0,48,13,3,61,34,19,88,12,4,63,136,6,37,35,3,62,0,0,79,21,17,50,102,36,10,20,31,108,28,14
ASV54,15,53,93,0,24,138,0,35,19,0,21,32,59,140,429,0,83,19,0,42,50,0,113,20,0,0,0,0,81,241,0,110,51,0,59,0,0,0,0,149,270,180,0,560,105,0,0,14,0,0,0,42,122,223,2,25,40,0,0,6,0,0,0,0,0,0,20,33,55,0,30,22,0,0,9,0,0,11
ASV55,35,12,17,25,191,35,163,114,55,62,222,84,18,56,9,91,101,25,22,58,13,57,58,32,33,43,39,12,294,18,44,51,16,28,174,24,14,25,29,0,12,7,2,121,8,7,65,10,9,64,24,2,6,3,25,9,8,14,111,14,7,8,22,9,30,59,0,3,9,0,2,10,6,18,7,2,4,28
ASV56,18,76,98,0,50,101,47,46,106,42,19,101,0,37,103,48,20,130,68,95,134,65,58,100,66,121,94,23,39,108,26,145,119,26,29,84,48,103,82,0,69,94,0,34,117,0,0,127,43,103,187,25,58,87,25,106,120,80,84,117,47,44,145,87,211,86,23,95,109,0,55,67,40,21,113,54,110,129
ASV57,26,75,53,0,214,65,18,140,79,21,63,19,37,51,25,57,125,83,13,74,11,21,64,3,0,6,2,10,51,30,0,30,14,0,41,0,0,4,1,163,87,36,6,123,25,0,0,13,0,12,6,70,90,68,16,32,26,3,38,21,0,12,10,0,0,0,43,43,43,4,101,69,0,0,26,11,19,19
ASV58,0,0,0,3,9,0,0,6,0,7,7,0,0,0,0,0,0,0,0,0,0,0,12,0,27,0,3,0,0,0,0,0,3,8,7,0,1,0,0,0,0,0,0,6,4,0,0,0,9,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,1,3,0,0,0,0,0,15,4,0
ASV59,56,4,4,7,0,0,10,0,0,51,0,0,203,16,3,157,0,0,11,0,0,159,0,0,123,0,0,70,5,0,21,2,0,53,3,0,3,0,0,212,4,9,25,8,0,125,380,0,102,0,0,195,10,0,245,0,5,28,130,0,77,65,0,0,0,0,246,3,1,199,110,9,390,370,25,92,8,4
ASV60,0,16,91,0,0,148,0,15,134,0,3,105,0,17,142,0,0,179,0,21,185,0,0,183,0,118,136,0,0,110,0,126,169,0,0,124,0,132,124,0,49,150,0,17,118,0,0,124,0,51,137,0,16,68,0,48,90,0,0,19,0,0,123,0,79,73,0,65,57,0,17,20,0,0,21,0,23,66
ASV61,11,69,105,0,40,143,0,124,130,0,180,87,36,59,147,0,175,135,0,150,199,0,228,229,3,174,167,0,113,136,0,148,118,0,110,142,0,143,152,56,129,141,0,288,174,0,0,106,0,277,210,28,115,99,0,100,100,0,0,141,0,0,280,0,280,56,0,115,89,0,61,81,0,0,77,4,96,124
ASV62,83,31,43,13,381,92,358,217,123,100,777,190,71,198,44,70,337,50,58,277,28,199,267,34,27,150,76,0,639,103,26,102,48,33,326,39,30,33,82,23,57,25,70,68,27,10,127,55,69,12,22,0,33,10,15,8,47,0,77,32,10,60,88,9,154,62,0,35,4,0,0,32,38,46,30,0,13,328
ASV64,4,54,66,0,0,73,0,0,32,0,14,44,7,34,60,0,46,49,0,37,90,0,32,58,0,67,59,0,22,58,0,76,74,0,52,49,0,66,80,10,118,100,0,31,72,0,0,103,0,46,72,23,82,103,0,89,73,0,0,67,0,0,66,0,25,10,3,110,118,0,64,52,0,0,67,0,48,36
ASV65,177,131,51,0,0,0,0,32,0,41,0,0,129,102,18,0,171,0,56,0,0,62,63,0,35,0,0,44,71,21,20,0,0,0,99,0,0,0,0,177,57,22,82,63,21,0,0,0,24,0,0,133,171,40,55,70,12,55,168,29,0,0,0,0,0,0,347,97,99,79,234,55,0,15,50,58,0,0
ASV66,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0
ASV67,0,92,114,0,121,87,65,63,102,53,17,128,0,71,86,61,69,107,124,157,113,81,130,88,79,94,96,23,77,125,0,138,108,28,117,60,122,110,66,0,80,121,0,80,136,0,0,145,27,153,127,37,80,108,0,146,192,0,124,161,54,56,136,117,196,40,56,150,148,0,138,89,18,13,180,65,128,127
ASV68,31,23,19,0,22,13,36,3,0,48,13,0,60,48,8,36,124,5,0,0,0,32,0,0,64,5,3,4,13,6,4,4,0,4,11,4,0,0,3,143,15,12,0,11,12,6,25,24,4,0,0,37,42,18,19,21,36,1,9,14,0,7,32,0,0,4,8,0,5,19,13,17,4,4,0,0,0,0
ASV69,18,0,0,0,3,0,11,0,0,24,0,0,41,0,0,81,0,0,0,0,0,28,0,0,24,0,0,71,0,0,16,0,0,88,0,0,0,0,0,34,0,0,12,0,4,199,405,3,116,0,0,30,0,5,327,5,0,32,170,1,84,91,5,4,0,5,46,0,0,172,33,9,645,747,17,57,0,0
ASV71,39,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,24,0,0,15,0,0,23,0,0,0,0,0,0,0,0,18,0,0,31,15,0,30,0,0,0,0,0,606,0,0,73,17,0,12,6,0,0,0,0,0,0,0,36,9,3,68,79,0,7,0,0
ASV72,17,2,3,9,45,7,120,32,9,163,43,13,30,38,7,52,22,4,13,13,3,34,24,3,7,16,11,0,24,8,0,4,6,8,25,5,6,11,10,0,4,5,0,12,6,0,6,5,0,0,0,0,0,0,2,12,42,0,0,14,0,0,43,0,0,5,0,0,1,4,5,13,0,0,2,0,0,0
ASV73,18,45,40,0,70,27,0,67,39,16,25,27,25,25,19,10,43,23,8,41,23,12,15,0,5,17,8,7,27,40,0,31,18,4,22,0,12,19,6,10,47,26,2,63,36,1,6,17,0,32,9,11,25,27,25,21,21,0,24,13,0,11,19,17,12,0,10,40,32,3,45,38,0,1,24,0,34,16
